2016-06-23 10:26:33 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 737]
2016-06-23 10:26:33 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 738]
2016-06-23 10:26:38 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 648]
2016-06-23 10:26:38 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 649]
2016-06-23 10:26:39 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 737]
2016-06-23 10:26:39 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 738]
2016-06-24 11:04:37 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 648]
2016-06-24 11:04:37 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 649]
2016-06-24 11:04:37 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 737]
2016-06-24 11:04:37 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 738]
2016-06-24 15:37:09 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 15:37:22 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 15:38:00 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 15:40:01 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 15:43:07 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 15:43:36 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:04:21 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:05:52 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:07:09 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:07:49 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:09:20 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:09:42 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:10:16 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:10:39 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:11:05 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:15:05 Debug: Notice (8): Undefined offset:  0 in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:15:29 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:16:02 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:16:45 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:17:05 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:17:59 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:18:41 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:18:48 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:18:52 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
2016-06-24 16:18:54 Debug: Notice (8): Undefined index:  nroItems in [C:\AppServ\www\evaluafunc\app\controllers\Evaluafuncionarios_Controller.php, line 877]
